Contraste	Contexts
b,m	v,ih	ax,ae	ae,s	s,eh
f,m	v,ih	ax,ae	t,eh	eh,ax
d,hh	v,ih	ax,ae	t,eh	eh,ax
p,d	v,ih	ax,ae	ae,s	eh,ax
p,hh	v,ih	ax,ae	ax,ih	ax,ao
r,d	v,ih	eh,hh	t,eh	eh,ax
r,hh	v,ih	t,eh	eh,ax	k,ih
s,d	v,ih	ax,ae	eh,hh	t,eh
s,hh	v,ih	ax,ae	t,eh	eh,ax
b,d	v,ih	ax,ae	ae,s	ax,ih
b,hh	v,ih	ax,ae	t,eh	ax,ih
hh,m	v,ih	ax,ae	t,eh	eh,ax
n,hh	ax,ae	eh,ax	ax,ih	ax,ao
n,m	ax,ae	ae,s	eh,hh	eh,ax
d,l	v,ih	ax,ae	eh,hh	eh,ax
hh,l	v,ih	ax,ae	t,eh	eh,ax
k,d	ax,ae	ae,s	eh,ax	eh,s
k,hh	ax,ae	eh,ax	ax,ih	ax,ao
k,l	ih,ao	ax,ae	ae,s	s,aa
v,d	v,ih	ax,ae	ae,s	eh,ax
v,hh	v,ih	ax,ae	eh,ax	ax,ih
v,l	v,ih	ax,ae	ae,s	eh,ax
w,d	v,ih	t,eh	ax,ih	ax,ao
w,hh	v,ih	t,eh	k,ih	ax,ih
w,l	v,ih	ax,uh	s,aa	t,eh
d,m	v,ih	ax,ae	ae,s	eh,hh
g,d	ax,ae	ax,ih	eh,z	t,aa
g,hh	ax,ae	ax,ih	s,ih	t,aa
g,m	ax,ae	t,eh	ax,ih	d,ao
z,d	v,ih	ax,ae	ae,s	eh,ax
t,d	v,ih	ax,ae	ae,s	f,ih
t,hh	v,ih	ax,ae	eh,ax	k,ih
f,d	v,ih	ax,ae	t,eh	ae,d
f,hh	v,ih	ax,ae	ax,ih	ax,ao
z,hh	v,ih	ax,ae	eh,ax	ax,ih
b,l	v,ih	ax,ae	ae,s	t,eh
l,m	v,ih	ax,ae	ae,s	eh,hh
r,m	v,ih	eh,hh	t,eh	eh,ax
v,m	v,ih	ax,ae	ae,s	eh,ax
w,m	v,ih	t,eh	s,eh	ax,ih
z,m	v,ih	ax,ae	ae,s	eh,ax
r,b	v,ih	aa,d	t,eh	ax,ih
s,b	v,ih	ax,ae	t,eh	s,eh
w,b	v,ih	t,eh	s,eh	ax,ih
n,b	ax,ae	aa,d	ae,s	ax,ih
g,b	ax,ih	d,ao	t,aa	t,ih
v,b	v,ih	ax,ae	ae,s	ax,ih
z,b	v,ih	ax,ae	ae,s	ax,ih
p,b	v,ih	ax,ae	ae,s	s,eh
t,b	v,ih	ax,ae	ae,s	s,eh
r,f	v,ih	t,eh	eh,ax	k,ao
s,f	v,ih	ax,ae	t,eh	eh,ax
w,f	v,ih	ax,uh	ch,aa	s,aa
z,f	v,ih	ax,ae	eh,ax	ih,hh
b,f	v,ih	ax,ae	ax,ih	d,ao
v,f	v,ih	ax,ae	eh,ax	ih,hh
r,s	v,ih	t,eh	eh,ax	k,ih
p,s	v,ih	ax,ae	eh,ax	s,eh
t,p	v,ih	ax,ae	ae,s	s,aa
t,s	v,ih	ax,ae	t,eh	eh,ax
w,r	v,ih	t,eh	k,ih	ax,ih
w,s	v,ih	t,eh	k,ih	ax,ih
z,r	v,ih	aa,d	g,ih	eh,ax
z,s	v,ih	ax,ae	eh,ax	ax,f
v,r	v,ih	eh,ax	ih,hh	ax,ih
p,r	v,ih	eh,ax	eh,s	ax,ih
k,w	s,aa	t,eh	s,eh	ax,ih
v,w	v,ih	s,eh	ax,ih	v,eh
z,w	v,ih	ax,ih	d,ao	ax,ao
z,v	v,ih	ax,ae	ae,s	eh,ax
k,v	ax,ae	ae,s	eh,ax	s,eh
n,k	ih,ao	ax,ae	ae,s	eh,ax
p,k	ax,ae	ae,s	eh,ax	eh,s
n,l	ih,ao	ax,ae	ae,s	eh,hh
z,k	ih,ao	ax,ae	aa,ah	ae,s
z,l	ih,ao	ax,ae	ae,s	eh,ax
m,k	ax,ae	ae,s	t,eh	eh,ax
t,k	ax,ae	aa,ah	ae,s	s,aa
t,l	ax,ae	ae,s	s,aa	ao,hh
r,n	aa,d	aa,sh	eh,hh	eh,ax
s,n	ax,ae	eh,hh	eh,ax	ax,f
z,n	ih,ao	ax,ae	aa,d	aa,ah
p,n	ax,ae	ae,s	eh,ax	eh,s
b,k	ax,ae	ae,s	t,eh	s,eh
p,l	ax,ae	ae,s	ax,uh	s,aa
d,n	ax,ae	ae,s	eh,hh	eh,ax
l,s	ax,ae	eh,hh	t,eh	eh,ax
m,s	ax,ae	eh,hh	t,eh	eh,ax
p,m	ax,ae	ae,s	eh,ax	eh,s
t,m	ax,ae	ae,s	t,eh	eh,ax
t,n	ax,ae	aa,d	aa,ah	ae,s
v,n	ax,ae	ae,s	eh,ax	ih,hh
v,s	ax,ae	eh,ax	ah,b	ax,ih
k,s	ax,ae	t,eh	eh,ax	ax,f
f,l	ax,ae	ax,uh	t,eh	eh,ax
f,n	ax,ae	eh,ax	ih,hh	ae,d
p,f	ax,ae	ax,uh	s,aa	ax,ih
t,f	ax,ae	s,aa	t,eh	eh,ax
f,k	ax,ae	t,eh	eh,ax	ax,ih
g,f	ax,ae	ax,uh	t,eh	ax,ih
g,k	ax,ae	t,eh	ax,ih	s,ih
g,l	ax,ae	ax,uh	t,eh	ax,ih
g,n	ax,ae	ax,ih	eh,z	ax,eh
g,s	ax,ae	t,eh	ax,ih	d,ao
g,z	ax,ae	ax,ih	d,ao	ax,eh
p,z	ax,ae	ae,s	eh,ax	ax,ih
t,z	ax,ae	aa,d	aa,ah	ae,s
y,b	ax,ih	t,ih	t,ao	z,eh
y,f	t,eh	d,ao	ax,ao	t,ih
y,l	t,eh	ax,ih	d,ao	ax,ao
y,m	t,eh	ax,ih	d,ao	ax,ao
y,n	ax,ih	t,ih	g,ax	ax,ah
v,p	ax,ae	ae,s	eh,ax	s,eh
g,p	ax,ae	ax,uh	s,aa	ax,ih
w,p	ax,uh	s,aa	s,eh	ax,ih
y,p	ax,ih	ax,ao	t,ih	ax,ah
g,t	ax,ae	s,aa	t,eh	ax,ih
y,v	ax,ih	z,eh	d,eh
v,t	ax,ae	ae,s	eh,ax	ih,hh
w,g	ax,uh	s,aa	t,eh	ax,ih
l,r	ao,hh	t,eh	eh,ax	eh,s
r,t	aa,d	eh,hh	ao,hh	t,eh
s,aa	b,t	t,p	k,t	d,t
t,w	s,aa	t,eh	s,eh	k,ih
n,w	g,ih	ax,ih	ax,ao	t,aa
r,k	t,eh	eh,ax	eh,s	ao,s
d,y	t,eh	ax,ih	ax,ao	z,eh
hh,y	t,eh	ax,ih	ax,ao	t,ih
r,y	t,eh	ax,ih	d,ao	t,ih
s,y	t,eh	ax,ih	d,ao	ax,ao
w,y	t,eh	ax,ih	d,ao	ax,ao
r,g	t,eh	ax,ih	d,ao	eh,z
y,k	t,eh	ax,ih	d,ao	ax,ao
g,y	t,eh	ax,ih	d,ao
t,y	t,eh	ax,ih	d,ao	ax,ao
t,aa	p,s	k,s	k,t	s,f
v,g	ax,ih	t,ih	ax,eh	ah,ax

