Contrasts	Context
l ʁ	['p,ɛ', 'e,e', 'k,a', 'ɔ,i', 'a,ɡ', 'i,i', 'u,ə', 'ɔ,ɔ', 'œ,o', 'p,e', 'b,ɛ', 'ɔ,t', 'f,a', 'a,f', 'i,ɛ', 'ɔ,d', 'b,d', 'a,p', 'b,i', 'ə,ə', 'ɛ,ɔ', 'u,v', 'a,s', 't,i', 'i,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɡ,ɔ', 'ɛ,p', 'u,ɛ', 'i,b', 't,ə', 's,a', 'b,p', 't,o', 'ɡ,a', 'b,ɔ', 'b,ø', 'ɡ,i', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'f,e', 'i,v', 'a,o', 'ɛ,ʒ', 'ɡ,ə', 'o,ə', 'i,s', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'p,ɔ', 'a,ɛ', 'ɛ,t', 'œ,p', 'o,i', 'e,ə', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'œ,ɛ', 'ɛ,a', 'b,e', 'e,a', 'e,i', 'i,p', 'ɡ,ɛ', 'ɛ,f', 'ə,ɔ', 'œ,f', 'ə,e', 'b,ə', 'ɛ,ə', 'ɛ,œ', 'ɔ,a', 'a,ɔ', 'k,ɛ', 'i,ə', 'ɛ,o', 'e,ɛ', 'k,i', 'f,ɛ', 'a,i', 'ɛ,e', 'p,i', 'b,a', 'a,a', 'p,a', 'a,t', 'b,k', 'ɛ,s', 'ɛ,œ̃']
ʁ l	['p,ɛ', 'e,e', 'k,a', 'ɔ,i', 'a,ɡ', 'i,i', 'u,ə', 'ɔ,ɔ', 'œ,o', 'p,e', 'b,ɛ', 'ɔ,t', 'f,a', 'a,f', 'i,ɛ', 'ɔ,d', 'b,d', 'a,p', 'b,i', 'ə,ə', 'ɛ,ɔ', 'u,v', 'a,s', 't,i', 'i,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɡ,ɔ', 'ɛ,p', 'u,ɛ', 'i,b', 't,ə', 's,a', 'b,p', 't,o', 'ɡ,a', 'b,ɔ', 'b,ø', 'ɡ,i', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'f,e', 'i,v', 'a,o', 'ɛ,ʒ', 'ɡ,ə', 'o,ə', 'i,s', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'p,ɔ', 'a,ɛ', 'ɛ,t', 'œ,p', 'o,i', 'e,ə', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'œ,ɛ', 'ɛ,a', 'b,e', 'e,a', 'e,i', 'i,p', 'ɡ,ɛ', 'ɛ,f', 'ə,ɔ', 'œ,f', 'ə,e', 'b,ə', 'ɛ,ə', 'ɛ,œ', 'ɔ,a', 'a,ɔ', 'k,ɛ', 'i,ə', 'ɛ,o', 'e,ɛ', 'k,i', 'f,ɛ', 'a,i', 'ɛ,e', 'p,i', 'b,a', 'a,a', 'p,a', 'a,t', 'b,k', 'ɛ,s', 'ɛ,œ̃']
a j	['p,ɛ', 't,ɛ', 'p,e', 'i,ɛ', 's,a', 's,ɛ', 'ɛ,ɛ', 'ɛ,d', 'ɛ,k', 'i,d', 'ɛ,a', 'a,t']
a l	['p,ɛ', 'p,e', 'i,ɡ', 'i,ɛ', 'b,d', 'u,v', 'ɛ,b', 'i,a', 'i,k', 'ɛ,p', 's,a', 'a,d', 'k,d', 'i,v', 'i,s', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'ɛ,t', 'p,d', 'b,s', 'ɛ,k', 'i,d', 'ɛ,a', 'e,v', 'i,p', 'e,ɛ', 'p,a', 'a,t', 'ɛ,s']
a ʁ	['p,ɛ', 't,ɛ', 'p,e', 'b,t', 'u,d', 'i,ɛ', 'b,d', 'u,p', 'd,p', 'd,s', 'u,v', 'a,s', 'ɛ,b', 'i,a', 't,ʒ', 'i,k', 't,v', 'ɛ,p', 's,a', 'a,d', 't,d', 't,b', 'k,d', 'i,v', 'ɛ,ʒ', 't,ʃ', 'i,s', 'u,k', 'ɛ,ɛ', 'ɛ,d', 't,s', 'i,t', 'ɛ,t', 'v,i', 'd,d', 'a,b', 'ɛ,k', 'i,d', 'a,k', 'ɛ,a', 'u,b', 'v,ɡ', 'a,v', 'i,p', 't,k', 'ɛ,v', 'd,k', 'v,k', 't,p', 'e,ɛ', 'ɛ,ʃ', 'p,a', 'a,t', 'ɛ,s']
j l	['p,ɛ', 'p,e', 'i,ɛ', 'ʒ,a', 'ɛ,ɔ', 'i,a', 'a,e', 'v,ɔ', 's,a', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'f,e', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'a,œ', 'u,a', 'k,e', 'ɛ,k', 'i,d', 'ɛ,a', 'ɛ,œ', 'k,ɛ', 'a,i', 'ɛ,e', 'b,a', 'a,a', 'a,t']
j ʁ	['p,ɛ', 'œ,a', 't,ɛ', 'p,e', 't,e', 'v,a', 'i,ɛ', 'ɛ,ɔ', 'i,a', 'a,e', 's,e', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'd,e', 'f,e', 's,ɛ', 'v,ɛ', 'u,k', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'a,ɛ', 'u,e', 'u,a', 'k,e', 'ɛ,k', 'i,d', 'ɛ,a', 't,ɔ', 'k,ɛ', 'œ,e', 'f,ɛ', 'a,i', 'ɛ,e', 'b,a', 'a,a', 'a,t', 'œ,s']
l j	['p,ɛ', 'p,e', 'i,ɛ', 'ʒ,a', 'ɛ,ɔ', 'i,a', 'a,e', 'v,ɔ', 's,a', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'f,e', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'a,œ', 'u,a', 'k,e', 'ɛ,k', 'i,d', 'ɛ,a', 'ɛ,œ', 'k,ɛ', 'a,i', 'ɛ,e', 'b,a', 'a,a', 'a,t']
ø j	['p,ɛ', 'd,ɔ', 'd,a']
ø l	['p,ɛ', 'd,a', 'p,d', 'p,a']
ø ʁ	['p,ɛ', 'd,p', 't,a', 'd,a', 'd,i', 'd,k', 'p,a']
ʁ j	['p,ɛ', 'œ,a', 't,ɛ', 'p,e', 't,e', 'v,a', 'i,ɛ', 'ɛ,ɔ', 'i,a', 'a,e', 's,e', 'a,d', 'ɛ,i', 'œ,d', 'i,e', 'd,e', 'f,e', 's,ɛ', 'v,ɛ', 'u,k', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'a,ɛ', 'u,e', 'u,a', 'k,e', 'ɛ,k', 'i,d', 'ɛ,a', 't,ɔ', 'k,ɛ', 'œ,e', 'f,ɛ', 'a,i', 'ɛ,e', 'b,a', 'a,a', 'a,t', 'œ,s']
t l	['k,a', 'ɔ,i', 'i,i', 'ɔ,ɔ', 'k,ə', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'i,a', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,a', 'a,d', 'ɛ,i', 'i,e', 'i,v', 'a,o', 'ɛ,ʒ', 'i,s', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'a,ɛ', 'a,œ', 'o,i', 'ə,i', 'u,e', 'u,a', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'u,u', 'ɛ,a', 'i,p', 'e,i', 'ɛ,f', 'ə,e', 'ɛ,œ', 'ɔ,a', 's,i', 'a,ɔ', 'k,ɛ', 'i,u', 'ɛ,o', 'e,ɛ', 'k,i', 'a,i', 'ɛ,e', 'p,i', 'e,e', 'a,a', 'ɛ,u', 'ɛ,s', 'i,f']
t ʁ	['k,a', 'ɔ,i', 'i,i', 't,ɛ', 'ɔ,ɔ', 'ə,u', 'p,e', 'u,d', 'k,ə', 'a,f', 'i,ɛ', 'o,ɛ', 'ɔ,d', 'u,p', 'ə,ə', 'ɛ,ɔ', 'a,s', 'u,s', 'a,u', 'ɛ,b', 'i,a', 'u,ø', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,e', 's,a', 'e,u', 'a,d', 'ɛ,i', 'i,e', 'i,o', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'u,e', 'u,a', 'k,e', 'a,b', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ɛ,f', 'ə,ɔ', 'ə,e', 'ɛ,œ', 'ɛ,v', 'ɔ,a', 'a,ɔ', 'k,ɔ', 'ɛ,o', 'e,ɛ', 'k,i', 'ɛ,ʃ', 'a,i', 'ɛ,e', 'p,i', 'e,e', 'a,a', 'ɛ,u', 'ɛ,s']
y l	['f,a', 'ɡ,i', 'p,d', 'b,s', 's,i', 'p,i']
y ʁ	['t,ɛ', 't,e', 'f,a', 'd,p', 'd,s', 'd,f', 'u,s', 't,d', 't,ø', 't,t', 't,a', 'v,d', 't,s', 'd,a', 'd,i', 'd,d', 'a,b', 'd,k', 't,p', 'k,i', 'f,i', 'p,i']
ɔ ʁ	['p,ɛ', 'ɛ,p', 'i,b', 't,d', 't,b', 't,k', 'd,k', 'v,k', 't,p']
f l	['k,a', 'ɔ,i', 'i,i', 'u,ə', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'i,k', 'e,ɔ', 'u,ɛ', 'i,e', 'ə,ɛ', 'ə,œ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'i,ɔ', 'ə,ɔ', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
f ʁ	['k,a', 'ɔ,i', 'i,i', 'u,ə', 'ə,u', 'e,ɛ', 'i,ɛ', 'o,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'i,k', 'e,ɔ', 'u,ɛ', 's,a', 'i,e', 'u,i', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'o,i', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'ə,ɔ', 't,ɔ', 'ə,e', 'i,ə', 'a,i', 'a,a']
ɔ l	['p,ɛ', 'i,b', 'i,t']
a ø	['p,ɛ', 'd,t', 'p,s', 'p,k', 's,d', 'p,t', 'd,s', 'p,p', 's,k', 'p,d', 'p,a']
l a	['p,ɛ', 'p,e', 'i,ɡ', 'i,ɛ', 'b,d', 'u,v', 'ɛ,b', 'i,a', 'i,k', 'ɛ,p', 's,a', 'a,d', 'k,d', 'i,v', 'i,s', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'ɛ,t', 'p,d', 'b,s', 'ɛ,k', 'i,d', 'ɛ,a', 'e,v', 'i,p', 'e,ɛ', 'p,a', 'a,t', 'ɛ,s']
l ø	['p,ɛ', 'd,a', 'p,d', 'p,a']
ø a	['p,ɛ', 'd,t', 'p,s', 'p,k', 's,d', 'p,t', 'd,s', 'p,p', 's,k', 'p,d', 'p,a']
ʁ a	['p,ɛ', 't,ɛ', 'p,e', 'b,t', 'u,d', 'i,ɛ', 'b,d', 'u,p', 'd,p', 'd,s', 'u,v', 'a,s', 'ɛ,b', 'i,a', 't,ʒ', 'i,k', 't,v', 'ɛ,p', 's,a', 'a,d', 't,d', 't,b', 'k,d', 'i,v', 'ɛ,ʒ', 't,ʃ', 'i,s', 'u,k', 'ɛ,ɛ', 'ɛ,d', 't,s', 'i,t', 'ɛ,t', 'v,i', 'd,d', 'a,b', 'ɛ,k', 'i,d', 'a,k', 'ɛ,a', 'u,b', 'v,ɡ', 'a,v', 'i,p', 't,k', 'ɛ,v', 'd,k', 'v,k', 't,p', 'e,ɛ', 'ɛ,ʃ', 'p,a', 'a,t', 'ɛ,s']
ʁ ø	['p,ɛ', 'd,p', 't,a', 'd,a', 'd,i', 'd,k', 'p,a']
ɔ a	['p,ɛ', 'p,s', 'p,k', 'b,t', 'k,s', 'p,t', 'e,f', 'ɛ,p', 'z,t', 'k,t', 't,d', 't,b', 'e,d', 'f,s', 's,k', 'i,t', 'e,k', 'v,t', 't,k', 'k,p', 'e,b', 'd,k', 'v,k', 't,p', 'ʃ,k', 's,s']
j a	['p,ɛ', 't,ɛ', 'p,e', 'i,ɛ', 's,a', 's,ɛ', 'ɛ,ɛ', 'ɛ,d', 'ɛ,k', 'i,d', 'ɛ,a', 'a,t']
j ø	['p,ɛ', 'd,ɔ', 'd,a']
l ɔ	['p,ɛ', 'i,b', 'i,t']
ʁ ɔ	['p,ɛ', 'ɛ,p', 'i,b', 't,d', 't,b', 't,k', 'd,k', 'v,k', 't,p']
a ɔ	['p,ɛ', 'p,s', 'p,k', 'b,t', 'k,s', 'p,t', 'e,f', 'ɛ,p', 'z,t', 'k,t', 't,d', 't,b', 'e,d', 'f,s', 's,k', 'i,t', 'e,k', 'v,t', 't,k', 'k,p', 'e,b', 'd,k', 'v,k', 't,p', 'ʃ,k', 's,s']
d s	['d,ə', 'e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 't,e', 'a,ø', 'k,ə', 'ɛ,e', 'i,ɛ', 'e,ø', 'ə,ə', 'ɛ,ɔ', 't,i', 'i,a', 'a,ə', 'ø,ə', 'a,e', 'u,ɛ', 's,e', 't,ə', 'œ̃,ɛ', 'e,u', 'ɛ,i', 'i,e', 'u,i', 'o,ə', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'o,i', 'e,ə', 'ə,i', 'u,e', 'k,e', 'i,d', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 'ə,e', 'ɛ,ə', 'œ̃,i', 'a,ɔ', 'ʒ,ə', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
k s	['i,i', 'ə,u', 'ɔ,t', 'e,ɛ', 'i,ɛ', 'o,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 't,i', 'a,u', 'i,a', 'œ̃,a', 'a,ə', 'ø,ə', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 't,ə', 'e,u', 'a,d', 'ɛ,i', 'i,e', 'o,ə', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'œ̃,ɔ', 'i,t', 'o,a', 'a,ɛ', 'ɛ,t', 'o,i', 'e,ə', 'ə,i', 'ə,a', 'ɛ,k', 'i,d', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 'ɛ,ə', 'ɛ,v', 'a,ɔ', 'i,ə', 'k,i', 'a,i', 'a,a', 'a,t', 'ɛ,u', 'ɛ,s', 'i,f']
s d	['d,ə', 'e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 't,e', 'a,ø', 'k,ə', 'ɛ,e', 'i,ɛ', 'e,ø', 'ə,ə', 'ɛ,ɔ', 't,i', 'i,a', 'a,ə', 'ø,ə', 'a,e', 'u,ɛ', 's,e', 't,ə', 'œ̃,ɛ', 'e,u', 'ɛ,i', 'i,e', 'u,i', 'o,ə', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'o,i', 'e,ə', 'ə,i', 'u,e', 'k,e', 'i,d', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'i,ɔ', 'ə,ɔ', 'ə,e', 'ɛ,ə', 'œ̃,i', 'a,ɔ', 'ʒ,ə', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
m s	['e,e', 'ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 't,e', 'ɔ,t', 'e,ɛ', 'i,ɛ', 'o,ɛ', 'a,p', 'ə,ə', 'e,a', 'a,u', 'i,a', 'a,ə', 'a,e', 'ɛ,p', 'a,d', 'ɛ,i', 'i,e', 'i,o', 'o,ə', 't,a', 'ə,ɛ', 'ə,œ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'œ̃,ɔ', 'a,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'u,a', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'ɛ,a', 'e,i', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'œ̃,i', 'i,ə', 'a,i', 'ɛ,e', 'a,a', 'ɔ,k', 'ɛ,u']
k ʒ	['o,u', 'i,i', 'ə,u', 't,u', 'i,ɛ', 'ə,ə', 'a,s', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,u', 'a,d', 'i,e', 'ə,ɛ', 'a,ɛ', 'e,ə', 'ə,i', 'ə,a', 'ɔ,e', 'u,u', 'ɛ,a', 'œ̃,u', 'e,a', 'e,i', 'ɛ,ə', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'a,a', 'a,t']
b t	['o,u', 'ɔ,i', 'ə,u', 'a,s', 'e,a', 'a,u', 'i,a', 'ə,ɛ', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,e', 'ɔ,a', 'a,ɔ', 'i,u', 'a,i', 'a,a']
n t	['o,u', 'e,e', 'ɔ,i', 'i,i', 't,ɛ', 'ɔ,ɔ', 'ə,u', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,u', 'i,a', 'œ̃,a', 'a,e', 'e,ɔ', 'o,ɔ', 'ɛ,p', 'e,u', 'ɛ,i', 'i,e', 'a,o', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'ɛ,t', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,a', 'e,i', 'ɛ,f', 'ə,ɔ', 'ə,e', 'ɔ,a', 'a,ɔ', 'i,u', 'ɛ,o', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'o,e', 'ɛ,u', 'ɛ,s']
p t	['o,u', 'ɔ,i', 'i,i', 'ə,u', 'u,d', 'i,ɛ', 'ɛ,ɔ', 'e,a', 'a,u', 'i,a', 'a,e', 'e,ɔ', 'u,ɛ', 's,e', 's,a', 'œ̃,ɛ', 'e,u', 'a,d', 'i,e', 'a,o', 's,ɛ', 'ə,ɛ', 's,o', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'a,œ', 'o,i', 'ə,i', 'u,e', 'u,a', 'ə,a', 'ɔ,e', 'u,u', 'ɛ,a', 'e,i', 'ə,ɔ', 'ə,e', 's,u', 's,i', 'a,ɔ', 'i,u', 'e,ɛ', 'a,i', 'ɛ,e', 'e,e', 'a,a', 's,ɔ', 'ɛ,u', 'ɛ,s']
k t	['o,u', 'i,i', 'ə,u', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'a,u', 'i,a', 'a,e', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,a', 'e,u', 'a,d', 'ɛ,i', 'i,e', 's,ɛ', 'i,s', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'a,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'ə,a', 'i,d', 'ɔ,e', 'u,u', 'ɛ,a', 'e,i', 'ɛ,f', 'ə,ɔ', 'ɛ,v', 'ɔ,a', 's,i', 'a,ɔ', 'i,u', 'e,ɛ', 'k,i', 'ɛ,ʃ', 'a,i', 'a,a', 's,ɔ', 'ɛ,u', 'ɛ,s']
m t	['o,u', 'e,e', 'ɔ,i', 'i,i', 't,ɛ', 'ə,u', 'i,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'a,u', 'ɛ,b', 'i,a', 'a,e', 'e,ɔ', 'o,ɔ', 'ɛ,p', 'ɛ,i', 'i,e', 'i,o', 's,ɛ', 'i,s', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'o,i', 'ə,i', 'u,a', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,e', 'ɔ,a', 'a,ɔ', 'e,ɛ', 'a,i', 'ɛ,e', 'a,a', 'ɛ,u', 'ɛ,s']
b ʒ	['o,u', 'ɔ,i', 'ə,u', 'ə,ə', 'a,s', 'a,u', 'a,ə', 'e,u', 'ə,ɛ', 'a,ɛ', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'e,a', 'ə,e', 'a,ɔ', 'a,i', 'a,a']
ʒ k	['o,u', 'i,i', 'ə,u', 't,u', 'e,ɛ', 'i,ɛ', 'ə,ə', 'a,s', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,u', 'a,d', 'i,e', 'ə,ɛ', 'a,ɛ', 'e,ə', 'ə,i', 'ə,a', 'ɔ,e', 'u,u', 'ɛ,a', 'œ̃,u', 'e,a', 'e,i', 'ɛ,ə', 'a,ɔ', 'i,ə', 'a,i', 'a,a', 'a,t']
m ɡ	['o,u', 'ə,u', 'i,a', 'a,ɛ', 'ə,a', 'œ̃,u', 'e,a', 'a,a']
n k	['o,u', 'i,i', 'ə,u', 'i,ɛ', 'ɔ,d', 'ə,ə', 'e,a', 'a,u', 'i,a', 'œ̃,a', 'a,ə', 'a,e', 'e,ɔ', 'o,ɔ', 'ɛ,p', 'e,u', 'ɛ,i', 'i,e', 'ə,ɛ', 'ø,u', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ɛ,t', 'v,i', 'e,ə', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,e', 'u,u', 'ɛ,a', 'e,i', 's,ə', 'e,o', 'ɛ,f', 'ə,ɔ', 'ɛ,ə', 'ɛ,v', 'ɔ,a', 'a,ɔ', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'a,a', 'ɛ,s']
m k	['o,u', 'i,i', 'ə,u', 'ɔ,t', 'e,ɛ', 'i,ɛ', 'ɔ,d', 'ɔ,s', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 'ɛ,p', 'ɛ,i', 'o,ə', 'i,s', 't,a', 'ə,ɛ', 'ə,œ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'œ̃,ɔ', 'o,a', 'a,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'ə,a', 'ɛ,a', 'œ̃,u', 'e,i', 'e,o', 'ə,ɔ', 'ɔ,a', 'a,ɔ', 'i,ə', 'a,i', 'a,a', 'ɛ,u', 'ɛ,s']
p k	['o,u', 'i,i', 'ə,u', 't,u', 'e,ɛ', 'i,ɛ', 'ə,ə', 'e,a', 'a,u', 'i,a', 'œ̃,a', 'a,e', 'e,ɔ', 'u,ɛ', 's,a', 'e,u', 's,ɛ', 't,a', 'ə,ɛ', 'ɛ,ɛ', 'œ̃,ɔ', 'o,a', 'a,ɛ', 'ɛ,t', 'ə,i', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'e,o', 'ə,ɔ', 's,i', 'a,ɔ', 'i,u', 'ø,ɔ', 'a,i', 'a,a', 's,ɔ', 'a,t', 'ɛ,s']
t k	['o,u', 'i,i', 'ə,u', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'a,u', 'i,a', 'a,e', 'e,ɔ', 'ɛ,p', 'u,ɛ', 's,a', 'e,u', 'a,d', 'ɛ,i', 'i,e', 's,ɛ', 'i,s', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'a,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'ə,a', 'i,d', 'ɔ,e', 'u,u', 'ɛ,a', 'e,i', 'ɛ,f', 'ə,ɔ', 'ɛ,v', 'ɔ,a', 's,i', 'a,ɔ', 'i,u', 'e,ɛ', 'k,i', 'ɛ,ʃ', 'a,i', 'a,a', 's,ɔ', 'ɛ,u', 'ɛ,s']
b k	['o,u', 'ə,u', 'e,ɛ', 'ɔ,s', 'ə,ə', 'a,s', 'e,a', 'a,u', 'i,a', 'a,ə', 'e,u', 't,a', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'ə,a', 'ɛ,a', 'e,i', 'e,o', 'ə,ɔ', 'ɔ,a', 'a,ɔ', 'i,u', 'a,i', 'a,a']
t ʒ	['o,u', 'ɔ,i', 'i,i', 'ə,u', 'i,ɛ', 'o,ɛ', 'ə,ə', 'a,s', 'a,u', 'i,a', 'a,e', 's,e', 'œ̃,ɛ', 'e,u', 'a,d', 'i,e', 'ə,ɛ', 'a,ɛ', 'a,œ', 'ə,i', 'u,e', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'u,u', 'ɛ,a', 'e,a', 'e,i', 'ə,e', 'a,ɔ', 'e,ɛ', 'a,i', 'e,e', 'a,a']
ɡ k	['o,u', 'ə,u', 'e,a', 'i,a', 'i,e', 'ɛ,ɛ', 'a,ɛ', 'ə,a', 'œ̃,u', 'i,u', 'a,a']
k ɡ	['o,u', 'ə,u', 'i,a', 'i,e', 'ɛ,ɛ', 'a,ɛ', 'ə,a', 'œ̃,u', 'e,a', 'i,u', 'a,a']
k m	['o,u', 'i,i', 'ə,u', 'ɔ,t', 'e,ɛ', 'i,ɛ', 'ɔ,d', 'ɔ,s', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 'a,u', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 'ɛ,p', 'ɛ,i', 'o,ə', 'i,s', 't,a', 'ə,ɛ', 'ə,œ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'œ̃,ɔ', 'o,a', 'a,ɛ', 'ɛ,t', 'o,i', 'ə,i', 'ə,a', 'ɛ,a', 'œ̃,u', 'e,i', 'e,o', 'ə,ɔ', 'ɔ,a', 'a,ɔ', 'i,ə', 'a,i', 'a,a', 'ɛ,u', 'ɛ,s']
p m	['o,u', 'ɔ,i', 'i,i', 'ə,u', 'ɔ,t', 't,u', 'e,ɛ', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'a,u', 'i,a', 'a,e', 'e,ɔ', 'a,d', 'i,e', 'a,o', 's,ɛ', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'z,a', 'o,a', 'a,ɛ', 'o,i', 'ə,i', 'u,a', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,ø', 'e,o', 'ə,ɔ', 'ə,e', 'ɔ,o', 'a,ɔ', 'a,i', 'ɛ,e', 'ø,a', 'e,e', 'a,a']
