Contrasts	Context
ʃ t	['u,d', 'i,ɛ', 'i,a', 'a,e', 'u,ɛ', 'œ̃,ɛ', 'e,u', 'ɛ,i', 'i,e', 'ə,ɛ', 'a,ɛ', 'u,e', 'u,a', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'e,a', 'e,i', 'ə,e', 'ɔ,a', 'ɛ,e', 'e,e', 'a,a']
ʃ ʁ	['u,d', 'e,ɛ', 'i,ɛ', 'ɔ,d', 'ɔ,s', 'ə,ə', 'e,a', 'a,e', 'u,ɛ', 'e,u', 'ɛ,i', 'i,e', 'u,k', 'ə,ɛ', 'ə,o', 'o,a', 'a,ɛ', 'u,e', 'u,a', 'ə,a', 'ɔ,ɛ', 'ɔ,e', 'ɛ,a', 'a,v', 'e,i', 'ə,e', 'ɔ,a', 'k,ɛ', 'ɛ,e', 'e,e', 'a,a', 'a,t']
k ʁ	['i,i', 'ə,u', 'ɔ,t', 't,u', 'e,ɛ', 'i,ɛ', 'o,ɛ', 'ɔ,d', 'ɔ,s', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 't,i', 'a,u', 'i,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 'u,ɛ', 't,ə', 's,a', 'e,u', 'a,d', 'ɛ,i', 'i,e', 'u,i', 's,ɛ', 'ø,i', 'o,ə', 'i,s', 't,a', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'œ̃,ɔ', 'i,t', 'o,a', 'a,ɛ', 'ɛ,t', 'v,i', 'o,i', 'e,ə', 'ə,i', 'a,œ̃', 'u,a', 'ə,a', 'ɛ,k', 'i,d', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'ɛ,f', 'ə,ɔ', 'ɛ,ə', 'ɛ,v', 'ɔ,a', 'a,ɔ', 'a,ʒ', 'i,ə', 'k,i', 'ɛ,ʃ', 'a,i', 'a,a', 'a,t', 'ɛ,s', 'ɛ,œ̃']
a t	['t,ɛ', 'u,d', 's,d', 'k,s', 'i,ɛ', 'u,p', 'i,a', 'ɛ,p', 's,a', 'i,v', 's,ɛ', 's,k', 'ɛ,ɛ', 'ɛ,d', 'ɛ,t', 's,p', 'ɛ,k', 'i,d', 'ɛ,a', 'a,v', 'i,p', 'ɛ,v', 'e,ɛ', 'ɛ,ʃ', 'ɛ,s', 's,s']
f t	['k,a', 'ɔ,i', 'i,i', 'ə,u', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'e,ɔ', 'u,ɛ', 's,a', 'i,e', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'o,i', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'ə,ɔ', 'ə,e', 'a,ɔ', 'e,ɛ', 'a,i', 'a,a', 's,ɔ']
i t	['k,a', 's,d', 'k,s', 'u,s', 's,a', 's,f', 's,ɛ', 'ʒ,e', 's,p', 'k,e', 's,i', 'k,ɛ', 's,s']
i l	['k,a', 'ʒ,a', 'b,d', 'k,d', 'k,k', 'p,d', 'b,s', 'k,e', 'e,v', 'k,ɛ']
u l	['k,a', 'b,d', 'k,d', 'b,s', 'b,e', 'e,v']
ɡ l	['ɛ,z', 'i,a', 'i,e', 'a,ɛ', 'ə,a', 'e,a', 'a,a']
ɡ t	['ə,u', 'i,a', 'i,e', 'ɛ,ɛ', 'a,ɛ', 'ə,a', 'e,a', 'i,u', 'a,a']
n l	['ɔ,i', 'i,i', 'u,ə', 'ɔ,ɔ', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'i,a', 'a,ə', 'a,e', 'i,k', 'ɛ,p', 'ɛ,i', 'i,e', 'a,o', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ɛ,t', 'a,œ', 'e,ə', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'u,u', 'ɛ,a', 'e,a', 'e,i', 'i,ɔ', 'ə,ɔ', 'ə,e', 'ɛ,ə', 'ɔ,a', 'a,ɔ', 'i,u', 'i,ə', 'e,ɛ', 'a,i', 'ɛ,e', 'e,e', 'a,a', 'ɛ,s']
n ʁ	['ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ɔ,ɔ', 'ə,u', 't,e', 't,u', 'i,ɛ', 'ɔ,d', 'ɔ,s', 'ə,ə', 'e,a', 't,i', 'a,u', 'i,a', 'a,ə', 'a,e', 'i,k', 'e,ɔ', 'ɛ,p', 't,ə', 'e,u', 'ɛ,i', 'i,e', 'a,o', 'v,ɛ', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'd,a', 'a,ɛ', 'ø,ɛ', 'ɛ,t', 'v,i', 'e,ə', 'ə,i', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'ɛ,f', 'ə,ɔ', 't,ɔ', 'u,ɔ', 'ə,e', 'ɛ,v', 'ɔ,a', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'ɛ,e', 'e,e', 'a,a', 'ɛ,u', 'ɛ,s']
e l	['k,a', 'ʒ,a', 'b,d', 'b,i', 'i,k', 's,a', 'i,s', 'i,t', 'd,a', 'ɛ,t', 'b,s', 'ɛ,k', 'i,d', 'i,p', 'a,t', 'b,k']
u ʁ	['k,a', 't,e', 'v,e', 'v,a', 'b,t', 'b,d', 't,f', 't,ʒ', 't,o', 't,d', 't,b', 'k,d', 't,t', 'v,ɛ', 't,ʃ', 't,a', 'v,d', 't,s', 'v,k', 't,p']
ə ʁ	['k,a', 'd,p', 'd,s', 'd,f', 'k,d', 's,ɛ', 'd,d', 'k,e', 'd,ɛ', 'd,k', 'k,ɛ']
l w	['k,a', 'f,a', 'e,a', 's,a', 'b,a', 'p,a']
ɛ w	['v,a', 'f,a', 's,a', 't,a', 'd,a']
ʁ w	['k,a', 'v,a', 'f,a', 's,a', 'ɡ,a', 't,a', 'd,a', 'b,a', 'p,a']
a i	['d,t', 'p,s', 'z,k', 'b,t', 's,d', 'k,s', 'f,t', 'd,p', 'p,t', 'd,s', 'k,b', 't,ʒ', 't,v', 'z,t', 's,a', 'ʃ,s', 'k,t', 't,d', 't,b', 'k,d', 'f,s', 'd,ɡ', 't,t', 's,t', 'k,k', 'v,d', 's,k', 't,s', 'k,v', 'v,t', 'p,d', 's,p', 'b,s', 'd,d', 's,ʒ', 'd,v', 'k,ʃ', 'e,v', 'v,ɡ', 'f,k', 'z,ʒ', 't,k', 'k,p', 'z,d', 'd,k', 't,p', 's,v', 'v,s', 'z,s', 's,b', 'ʃ,k', 'e,s', 's,s']
f w	['k,a', 'e,a', 's,a', 't,a']
i w	['k,a', 'ʒ,a', 's,a', 'd,a']
t i	['k,a', 's,d', 'k,s', 'u,s', 's,a', 's,f', 's,ɛ', 'ʒ,e', 's,p', 'k,e', 's,i', 'k,ɛ', 's,s']
w i	['k,a', 'ʒ,a', 's,a', 'd,a']
ʁ i	['k,a', 'b,d', 'd,p', 'd,s', 'd,f', 'u,s', 't,f', 't,ʒ', 't,v', 't,d', 't,b', 'k,d', 's,ɛ', 't,t', 'v,ɛ', 'v,d', 't,s', 'd,a', 'd,d', 'k,e', 'v,ɡ', 't,k', 'd,k', 'v,k', 'k,ɛ', 't,p']
l i	['k,a', 'ʒ,a', 'b,d', 'k,d', 'k,k', 'p,d', 'b,s', 'k,e', 'e,v', 'k,ɛ']
u i	['k,a', 'd,t', 'p,s', 's,d', 'k,s', 'ʒ,t', 'd,s', 't,f', 't,ʒ', 'k,t', 'v,f', 't,b', 'k,d', 's,f', 'v,v', 't,t', 's,t', 'v,d', 't,s', 'k,v', 'v,t', 'ʒ,e', 'v,p', 's,p', 'k,ʃ', 'k,p', 'v,k', 't,p', 'd,z', 's,v', 's,s']
u w	['k,a', 'v,a', 't,a']
ə i	['k,a', 'd,t', 's,d', 'k,s', 'ʒ,d', 'd,p', 'p,t', 'ʒ,t', 'f,z', 'd,s', 'k,b', 'd,f', 'd,ʒ', 'k,t', 'k,d', 's,f', 'ʒ,k', 's,ɛ', 'd,ɡ', 'ʒ,s', 's,t', 'k,k', 's,k', 'k,v', 's,p', 'k,f', 'd,d', 'k,e', 's,ʒ', 'd,v', 'k,p', 'd,k', 'k,ɛ', 'd,z', 's,v', 's,ɡ', 's,s']
e p	['k,a', 's,e', 's,a', 's,ɛ', 't,a', 's,o', 's,ɔ']
e w	['k,a', 'ʃ,a', 'v,a', 'ʒ,a', 's,a', 't,a', 'd,a']
l e	['k,a', 'ʒ,a', 'b,d', 'b,i', 'i,k', 's,a', 'i,s', 'i,t', 'd,a', 'ɛ,t', 'b,s', 'ɛ,k', 'i,d', 'i,p', 'a,t', 'b,k']
p e	['k,a', 's,e', 's,a', 's,ɛ', 't,a', 's,o', 's,ɔ']
p w	['k,a', 'v,a', 'e,a', 's,a', 't,a']
w e	['k,a', 'ʃ,a', 'v,a', 'ʒ,a', 's,a', 't,a', 'd,a']
w p	['k,a', 'v,a', 'e,a', 's,a', 't,a']
s i	['b,t', 'k,s', 'k,t', 'k,k', 'k,e', 'k,p', 'k,ɛ', 't,p']
f e	['k,a', 'i,k', 's,a', 's,ɛ', 't,a', 't,ɔ']
ə e	['k,a', 'd,t', 's,d', 'k,s', 'ʒ,d', 'd,p', 'p,t', 'ʒ,t', 'd,s', 'd,f', 'd,ʒ', 'd,b', 'k,d', 'd,ɔ', 's,f', 'ʒ,k', 's,ɛ', 'd,ɡ', 'ʒ,v', 'ʒ,s', 's,t', 's,ʃ', 'k,k', 's,k', 's,p', 'd,d', 's,ʒ', 'd,o', 'd,v', 'd,ɛ', 'd,k', 'ʒ,p', 'd,ʃ', 'd,z', 's,v', 's,ɡ', 's,s']
ʁ e	['k,a', 't,ɛ', 't,e', 'u,d', 't,œ̃', 'b,d', 'u,t', 'b,i', 'd,p', 'd,s', 'd,f', 't,f', 't,ʒ', 'i,k', 't,v', 's,e', 's,a', 't,o', 't,d', 't,b', 'd,ɔ', 's,ɛ', 't,t', 't,ʃ', 't,a', 'v,d', 't,s', 'i,t', 'd,a', 'ɛ,t', 'd,i', 'd,d', 'ɛ,k', 'i,d', 'a,k', 'd,o', 'd,ɛ', 't,k', 't,ɔ', 'ɛ,v', 'd,k', 'v,k', 't,p', 'ɛ,ʃ', 'a,t']
i ə	['k,a', 'd,t', 's,d', 'k,s', 'ʒ,d', 'd,p', 'p,t', 'ʒ,t', 'f,z', 'd,s', 'k,b', 'd,f', 'd,ʒ', 'k,t', 'k,d', 's,f', 'ʒ,k', 's,ɛ', 'd,ɡ', 'ʒ,s', 's,t', 'k,k', 's,k', 'k,v', 's,p', 'k,f', 'd,d', 'k,e', 's,ʒ', 'd,v', 'k,p', 'd,k', 'k,ɛ', 'd,z', 's,v', 's,ɡ', 's,s']
l ə	['k,a', 'k,d', 'k,k', 'k,ɛ']
t ə	['k,a', 's,d', 'k,s', 's,f', 's,ɛ', 's,k', 's,p', 'k,e', 'k,ɛ', 's,s']
e ə	['k,a', 'd,t', 's,d', 'k,s', 'ʒ,d', 'd,p', 'p,t', 'ʒ,t', 'd,s', 'd,f', 'd,ʒ', 'd,b', 'k,d', 'd,ɔ', 's,f', 'ʒ,k', 's,ɛ', 'd,ɡ', 'ʒ,v', 'ʒ,s', 's,t', 's,ʃ', 'k,k', 's,k', 's,p', 'd,d', 's,ʒ', 'd,o', 'd,v', 'd,ɛ', 'd,k', 'ʒ,p', 'd,ʃ', 'd,z', 's,v', 's,ɡ', 's,s']
ʁ ə	['k,a', 'd,p', 'd,s', 'd,f', 'k,d', 's,ɛ', 'd,d', 'k,e', 'd,ɛ', 'd,k', 'k,ɛ']
e i	['k,a', 'd,t', 'p,s', 'z,k', 's,d', 'k,s', 'ʒ,d', 'b,d', 'd,p', 'p,t', 'ʒ,t', 'd,s', 'd,f', 'd,œ̃', 't,f', 'd,ʒ', 't,ʒ', 't,v', 'z,t', 's,a', 'ʃ,s', 't,d', 't,b', 'd,e', 'k,d', 's,f', 'v,v', 'ʒ,k', 's,ɛ', 'd,ɡ', 't,t', 's,t', 'k,k', 'v,d', 's,k', 't,s', 'v,p', 'p,d', 's,p', 'b,s', 'd,d', 's,ʒ', 'd,v', 'f,k', 't,k', 'z,d', 'd,k', 'v,k', 't,p', 'd,z', 's,v', 's,ɡ', 'v,s', 'z,s', 's,b', 's,s']
p i	['k,a', 's,a', 's,ɛ', 's,i']
e f	['k,a', 'i,k', 's,a', 's,ɛ', 't,a', 't,ɔ']
l f	['k,a', 'ɔ,i', 'i,i', 'u,ə', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'i,k', 'e,ɔ', 'u,ɛ', 'i,e', 'ə,ɛ', 'ə,œ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'i,ɔ', 'ə,ɔ', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
w f	['k,a', 'e,a', 's,a', 't,a']
ʁ f	['k,a', 'ɔ,i', 'i,i', 'u,ə', 'ə,u', 'e,ɛ', 'i,ɛ', 'o,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'i,k', 'e,ɔ', 'u,ɛ', 's,a', 'i,e', 'u,i', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'o,i', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'ə,ɔ', 't,ɔ', 'ə,e', 'i,ə', 'a,i', 'a,a']
l u	['k,a', 'b,d', 'k,d', 'b,s', 'b,e', 'e,v']
w u	['k,a', 'v,a', 't,a']
ʁ u	['k,a', 't,e', 'v,e', 'v,a', 'b,t', 'b,d', 't,f', 't,ʒ', 't,o', 't,d', 't,b', 'k,d', 't,t', 'v,ɛ', 't,ʃ', 't,a', 'v,d', 't,s', 'v,k', 't,p']
ɛ ə	['d,t', 's,d', 'k,s', 'ʒ,d', 'p,z', 'd,p', 'p,t', 'd,s', 's,ɛ', 'ʒ,s', 's,t', 's,k', 's,p', 'd,d', 'd,v', 'd,k', 's,s']
i e	['k,a', 'd,t', 'p,s', 'z,k', 's,d', 'k,s', 'ʒ,d', 'b,d', 'd,p', 'p,t', 'ʒ,t', 'd,s', 'd,f', 'd,œ̃', 't,f', 'd,ʒ', 't,ʒ', 't,v', 'z,t', 's,a', 'ʃ,s', 't,d', 't,b', 'd,e', 'k,d', 's,f', 'v,v', 'ʒ,k', 's,ɛ', 'd,ɡ', 't,t', 's,t', 'k,k', 'v,d', 's,k', 't,s', 'v,p', 'p,d', 's,p', 'b,s', 'd,d', 's,ʒ', 'd,v', 'f,k', 't,k', 'z,d', 'd,k', 'v,k', 't,p', 'd,z', 's,v', 's,ɡ', 'v,s', 'z,s', 's,b', 's,s']
i p	['k,a', 's,a', 's,ɛ', 's,i']
i u	['k,a', 'd,t', 'p,s', 's,d', 'k,s', 'ʒ,t', 'd,s', 't,f', 't,ʒ', 'k,t', 'v,f', 't,b', 'k,d', 's,f', 'v,v', 't,t', 's,t', 'v,d', 't,s', 'k,v', 'v,t', 'ʒ,e', 'v,p', 's,p', 'k,ʃ', 'k,p', 'v,k', 't,p', 'd,z', 's,v', 's,s']
a f	['i,ɛ', 'ɛ,ɛ', 'e,ɛ']
t f	['k,a', 'ɔ,i', 'i,i', 'ə,u', 'e,ɛ', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'e,ɔ', 'u,ɛ', 's,a', 'i,e', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'o,i', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'ə,ɔ', 'ə,e', 'a,ɔ', 'a,i', 'a,a', 's,ɔ']
e s	['ə,t', 't,ɛ', 't,e', 'u,t', 'i,k', 's,e', 's,ɛ', 't,a', 'k,k', 'i,t', 'd,a', 'ɛ,t', 'ɛ,k', 'i,p', 'i,ʒ', 't,p', 'a,t', 'b,k']
y s	['t,ɛ', 'b,t', 'k,t', 's,ɛ', 'k,p', 's,i', 't,p', 'k,i']
ʒ s	['ə,t', 'ɔ,i', 'i,i', 'ə,u', 'b,ɛ', 'a,ø', 'i,ɛ', 'ə,ə', 'a,u', 'i,a', 'a,ə', 'a,e', 's,e', 'œ̃,ɛ', 'e,u', 'a,d', 'i,e', 'ə,ɛ', 'a,ɛ', 'a,œ', 'e,ə', 'ə,i', 'ə,a', 'a,k', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,e', 'ɛ,ə', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'e,e', 'a,a', 'a,t']
e ʒ	['ə,t', 's,e', 'a,t']
s ʒ	['ə,t', 'ɔ,i', 'i,i', 'ə,u', 'b,ɛ', 'a,ø', 'i,ɛ', 'ə,ə', 'a,u', 'i,a', 'a,ə', 'a,e', 's,e', 'œ̃,ɛ', 'e,u', 'a,d', 'i,e', 'ə,ɛ', 'a,ɛ', 'a,œ', 'e,ə', 'ə,i', 'ə,a', 'a,k', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,e', 'ɛ,ə', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'e,e', 'a,a', 'a,t']
a ʒ	['i,ɛ', 'a,s', 'a,d', 'a,t']
s e	['ə,t', 't,ɛ', 't,e', 'u,t', 'i,k', 's,e', 's,ɛ', 't,a', 'k,k', 'i,t', 'd,a', 'ɛ,t', 'ɛ,k', 'i,p', 'i,ʒ', 't,p', 'a,t', 'b,k']
y e	['t,ɛ', 'd,t', 's,d', 'k,s', 'd,p', 'p,t', 'd,s', 'd,f', 'd,ʒ', 'd,b', 't,d', 'd,e', 's,f', 's,ɛ', 'd,ɡ', 't,t', 'ʒ,s', 't,a', 'v,d', 's,k', 't,s', 'd,a', 'd,i', 's,p', 'b,s', 'd,d', 's,ʒ', 'd,v', 'd,k', 't,p', 'd,ʃ', 'v,s', 's,b', 's,s']
ʒ e	['ə,t', 's,e', 'a,t']
a e	['z,v', 't,ɛ', 'd,t', 'p,s', 'z,k', 'v,ʒ', 's,d', 'k,s', 'ʃ,p', 'd,p', 'p,t', 'd,s', 't,ʒ', 'i,k', 'z,p', 'z,t', 's,a', 'ʃ,s', 'd,b', 'p,p', 't,d', 't,b', 'k,d', 'e,d', 'ʒ,k', 's,ɛ', 't,t', 'ʒ,v', 't,ʃ', 'i,s', 'ʒ,s', 's,t', 's,ʃ', 'k,k', 'v,d', 's,k', 't,s', 'i,t', 'e,k', 'ɛ,t', 'v,p', 'p,d', 's,p', 'b,s', 'd,d', 's,ʒ', 'e,p', 'i,d', 'ʃ,d', 'd,v', 'i,p', 't,k', 'z,d', 'ɛ,v', 'd,k', 'ʒ,p', 't,p', 'e,t', 's,v', 'v,s', 's,b', 'ʃ,k', 'a,t', 's,s']
o e	['d,t', 's,d', 'u,t', 'd,s', 'd,f', 'p,p', 't,d', 'e,d', 't,a', 's,k', 't,s', 'ɛ,t', 'p,d', 't,k', 'z,d', 'v,k', 't,p', 'e,t', 's,v', 'b,k', 's,s']
m l	['ɔ,i', 'i,i', 'u,ə', 'ɔ,ɔ', 'ɔ,t', 'i,ɛ', 'ɔ,d', 'a,p', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'a,ə', 'a,e', 'e,ɔ', 'ɛ,p', 'a,d', 'ɛ,i', 'i,e', 'i,s', 'ə,ɛ', 'ə,œ', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ɛ,t', 'ə,i', 'u,a', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'ɛ,a', 'e,i', 'i,ɔ', 'ə,ɔ', 'ə,e', 'ɔ,a', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'ɛ,e', 'e,e', 'a,a', 'ɛ,u', 'ɛ,s']
s l	['ɔ,i', 'i,i', 'u,ə', 'b,ɛ', 'a,ø', 'ɔ,t', 'k,ə', 'ɛ,e', 'i,ɛ', 'a,p', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'a,ə', 'a,e', 'i,k', 'ɛ,p', 'u,ɛ', 'b,ɔ', 'a,d', 'ɛ,i', 'i,e', 'a,o', 'o,ə', 'ə,ɛ', 'ə,œ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'i,t', 'a,ɛ', 'ɛ,t', 'a,œ', 'o,i', 'e,ə', 'ə,i', 'u,e', 'k,e', 'ə,a', 'ɛ,k', 'ɔ,ɛ', 'i,d', 'a,k', 'ɔ,e', 'ɛ,a', 'i,p', 'e,i', 'i,ɔ', 'ə,ɔ', 'ə,e', 'ɛ,ə', 'ɛ,œ', 'a,ɔ', 'ʒ,ə', 'k,ɛ', 'i,ə', 'ɛ,o', 'e,ɛ', 'k,i', 'a,i', 'e,e', 'a,a', 'a,t', 'b,k', 'ɛ,u', 'ɛ,s', 'i,f']
s p	['ɔ,i', 'i,i', 'ə,u', 'a,ø', 'ɔ,t', 'e,ɛ', 'i,ɛ', 'e,ø', 'ə,ə', 'e,a', 'a,u', 'i,a', 'œ̃,a', 'a,e', 'u,ɛ', 'œ̃,ɛ', 'e,u', 'a,d', 'i,e', 'u,i', 'a,o', 's,ɛ', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ɛ,t', 'a,œ', 'o,i', 'u,e', 'u,a', 'ə,a', 'ɔ,e', 'ɛ,a', 'e,i', 'ə,ø', 'ə,ɔ', 'ə,e', 's,i', 'a,ɔ', 'i,u', 'ɛ,o', 'a,i', 'ɛ,e', 'e,e', 'a,a', 'a,t', 'ɛ,u', 'ɛ,s']
ʃ p	['u,d', 'e,ɛ', 'e,a', 'i,a', 'a,e', 'u,ɛ', 'œ̃,ɛ', 'e,u', 'i,e', 'ə,ɛ', 'ə,o', 'o,a', 'a,ɛ', 'u,a', 'ə,a', 'ɛ,a', 'e,i', 'ɛ,e', 'e,e', 'a,a']
d f	['ɔ,i', 'i,i', 'u,ə', 'ə,u', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'i,a', 'e,ɔ', 'u,ɛ', 'i,e', 'u,i', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'a,ɛ', 'ə,i', 'e,ø', 'e,a', 'e,i', 'i,ɔ', 'ə,ɔ', 't,ɔ', 'ə,e', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
d p	['ɔ,i', 'i,i', 'ə,u', 'e,ø', 'ə,ə', 'e,a', 'a,u', 'i,a', 'a,e', 'ɛ,ø', 'e,ɔ', 's,e', 'œ̃,ɛ', 'e,u', 'i,e', 'u,i', 's,ɛ', 'ə,ɛ', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'ə,i', 'ɔ,e', 'ɛ,a', 'e,i', 's,ə', 'ə,ø', 'ə,ɔ', 't,ɔ', 'ə,e', 'a,ɔ', 'i,u', 'e,ɛ', 'a,i', 'ɛ,e', 'ø,a', 'e,e', 'a,a']
d ʁ	['ɔ,i', 'i,i', 'u,ə', 't,ɛ', 'ə,u', 'œ̃,ə', 't,e', 'k,ə', 'i,ɛ', 'o,ɛ', 'ɔ,d', 'ə,ə', 'ɛ,ɔ', 'a,s', 'e,a', 't,i', 'a,u', 'i,a', 'a,ə', 'p,ə', 'a,e', 'u,ɛ', 's,e', 't,ə', 'ɡ,e', 'e,u', 'ɛ,i', 'i,e', 'u,i', 'e,ɔ', 's,ɛ', 'ɡ,ə', 'o,ə', 'ə,ɛ', 'ɛ,ɛ', 'o,a', 'a,ɛ', 'o,i', 'e,ə', 'ə,i', 'u,e', 'k,e', 'ɔ,ɛ', 'i,d', 'ɔ,e', 'ɛ,a', 'a,v', 'e,i', 's,ə', 'ə,ɔ', 'ə,e', 'b,ə', 'ɛ,ə', 'a,ɔ', 'i,ə', 'e,ɛ', 'a,i', 'ɛ,e', 'ø,a', 'ø,e', 'e,e', 'a,a']
f n	['ɔ,i', 'i,i', 'u,ə', 'ə,u', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'i,k', 'e,ɔ', 'i,e', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'ɛ,d', 'a,ɛ', 'ø,ɛ', 'ə,i', 'ə,a', 'ɔ,ɛ', 'ɛ,a', 'e,i', 'i,ɔ', 't,ɔ', 'ə,e', 'i,ə', 'e,ɛ', 'a,i', 'a,a']
f p	['ɔ,i', 'i,i', 'ə,u', 'e,ɛ', 'i,ɛ', 'ə,ə', 'ɛ,ɔ', 'e,a', 'i,a', 'e,ɔ', 's,a', 'u,i', 's,ɛ', 't,a', 'ə,ɛ', 'ə,o', 'ɛ,ɛ', 'a,ɛ', 'ə,a', 'ɛ,a', 'e,i', 'ə,ø', 'ə,ɔ', 't,ɔ', 'ə,e', 'a,ɔ', 'a,i', 'a,a', 's,ɔ']
